epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,53.3747,0.90844,0.7659,1.10472,0.94851,0.95238,0.96695,0.75153,0.85339,0.59072,0.96385,0.0007724,0.0007724,0.0007724
64,54.1449,0.89679,0.661,1.06829,0.91251,0.99356,0.98467,0.78874,0.73142,0.61601,0.93157,0.0007526,0.0007526,0.0007526
65,54.91,0.79766,0.69782,1.01201,0.87416,0.99261,0.97845,0.72019,0.85583,0.65207,0.97639,0.0007328,0.0007328,0.0007328
66,55.6478,0.88982,0.69875,1.05726,0.86055,0.95238,0.97129,0.69015,0.98218,0.72277,1.01109,0.000713,0.000713,0.000713
67,56.3891,0.91183,0.72353,1.06907,0.83749,0.98206,0.96398,0.66156,1.02763,0.73618,1.02398,0.0006932,0.0006932,0.0006932
68,57.1716,0.9113,0.70719,1.07038,0.94397,0.95238,0.96652,0.69194,0.87473,0.62687,0.97017,0.0006734,0.0006734,0.0006734
69,57.9031,0.89369,0.72571,1.06924,0.94854,0.95238,0.96579,0.77031,0.84589,0.61322,0.94917,0.0006536,0.0006536,0.0006536
70,58.6315,0.80906,0.65008,1.01785,0.94935,0.95238,0.95972,0.76424,0.82636,0.61116,0.94469,0.0006338,0.0006338,0.0006338
71,59.5046,0.84681,0.70263,1.06662,0.9495,0.95238,0.96095,0.76739,0.78239,0.60259,0.93761,0.000614,0.000614,0.000614
72,60.2601,0.84073,0.72526,1.06521,0.94992,0.95238,0.96123,0.72415,0.83391,0.60952,0.95275,0.0005942,0.0005942,0.0005942
73,60.9816,0.81762,0.67005,1.04515,0.9503,0.95238,0.95524,0.71079,0.87342,0.63018,0.96454,0.0005744,0.0005744,0.0005744
74,61.7198,0.77733,0.64264,1.03676,0.95028,0.95238,0.95434,0.70952,0.83202,0.61874,0.95423,0.0005546,0.0005546,0.0005546
75,62.4477,0.77074,0.62892,1.01982,0.95233,0.95145,0.95131,0.72916,0.77478,0.59304,0.94244,0.0005348,0.0005348,0.0005348
76,63.2167,0.79819,0.72126,1.05132,0.94782,0.95238,0.95193,0.77988,0.66289,0.54669,0.91595,0.000515,0.000515,0.000515
77,63.9448,0.7345,0.5862,1.00105,0.94899,0.95238,0.95114,0.79954,0.65523,0.55981,0.9112,0.0004952,0.0004952,0.0004952
78,64.6867,0.7936,0.65555,1.05837,0.94895,0.95238,0.94876,0.75901,0.68797,0.56944,0.91429,0.0004754,0.0004754,0.0004754
79,65.432,0.77092,0.6359,1.01769,0.94926,0.95238,0.95275,0.75878,0.70321,0.56277,0.91645,0.0004556,0.0004556,0.0004556
80,66.1841,0.652,0.5709,0.95505,0.94929,0.95238,0.97056,0.79861,0.6534,0.51183,0.9112,0.0004358,0.0004358,0.0004358
81,66.8983,0.74992,0.63344,1.01938,0.94914,0.95238,0.97682,0.82442,0.6594,0.51331,0.92222,0.000416,0.000416,0.000416
82,67.667,0.74316,0.63102,1.01523,0.94917,0.95238,0.97468,0.8091,0.6583,0.51191,0.93434,0.0003962,0.0003962,0.0003962
83,68.3999,0.68593,0.55791,0.99569,0.94939,0.95238,0.97588,0.79544,0.66354,0.50062,0.93817,0.0003764,0.0003764,0.0003764
84,69.1627,0.75725,0.62037,1.07024,0.94966,0.95238,0.98384,0.82349,0.65339,0.47603,0.92075,0.0003566,0.0003566,0.0003566
85,69.906,0.60857,0.56887,0.96124,0.94972,0.95238,0.98676,0.82912,0.61524,0.45758,0.89345,0.0003368,0.0003368,0.0003368
86,70.7945,0.72355,0.63119,1.0068,0.95438,0.99641,0.98864,0.82673,0.62266,0.44003,0.89031,0.000317,0.000317,0.000317
